,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,count_x,count_y,total_counts
192,192,410,Suffolk St & Stanton St,40.72066442,-73.98517977,79947.0,80614,160561.0
193,193,411,E 6 St & Avenue D,40.72228087,-73.97668709,36152.0,36115,72267.0
194,194,412,Forsyth St & Canal St,40.71581550000001,-73.99422366,64873.0,65247,130120.0
195,195,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,25467.0,27914,53381.0
196,196,415,Pearl St & Hanover Square,40.7047177,-74.00926027,44019.0,48367,92386.0
197,197,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,22548.0,20486,43034.0
198,198,417,Barclay St & Church St,40.71291224,-74.01020234,92698.0,93265,185963.0
199,199,418,Front St & Gold St,40.70224,-73.982578,18282.0,19680,37962.0
200,200,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,13529.0,13306,26835.0
201,201,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,15688.0,13451,29139.0
202,202,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,11673.0,10984,22657.0
203,203,422,W 59 St & 10 Ave,40.770513,-73.988038,52695.0,50976,103671.0
204,204,423,W 54 St & 9 Ave,40.76584941,-73.98690506,47945.0,46668,94613.0
205,205,426,West St & Chambers St,40.71754834,-74.01322069,176084.0,185730,361814.0
206,206,427,Bus Slip & State St,40.701907,-74.013942,45554.0,47736,93290.0
207,207,428,E 3 St & 1 Ave,40.72467721,-73.98783413,52797.0,52605,105402.0
208,208,430,York St & Jay St,40.7014851,-73.98656928,33026.0,34151,67177.0
209,209,431,Hanover Pl & Livingston St,40.68864636,-73.98263429,1796.0,1818,3614.0
210,210,432,E 7 St & Avenue A,40.72621788,-73.98379855,107952.0,110043,217995.0
211,211,433,E 13 St & Avenue A,40.72955361,-73.98057249,70514.0,68843,139357.0
212,212,434,9 Ave & W 18 St,40.74317449,-74.00366443,60174.0,62281,122455.0
213,213,435,W 21 St & 6 Ave,40.74173969,-73.99415556,185935.0,187681,373616.0
214,214,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,10126.0,9076,19202.0
215,215,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,21094.0,20340,41434.0
216,216,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,81028.0,82211,163239.0
217,217,439,E 4 St & 2 Ave,40.7262807,-73.98978041,77269.0,78972,156241.0
218,218,440,E 45 St & 3 Ave,40.75255434,-73.97282625,57139.0,57465,114604.0
219,219,441,E 52 St & 2 Ave,40.756014,-73.967416,45989.0,46004,91993.0
220,220,442,W 27 St & 7 Ave,40.746647,-73.993915,105386.0,104517,209903.0
221,221,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,8308.0,7142,15450.0
222,222,444,Broadway & W 24 St,40.7423543,-73.98915076,86069.0,84537,170606.0
223,223,445,E 10 St & Avenue A,40.72740794,-73.98142006,105542.0,108568,214110.0
224,224,446,W 24 St & 7 Ave,40.74487634,-73.99529885,114820.0,115145,229965.0
225,225,447,8 Ave & W 52 St,40.76370739,-73.9851615,81898.0,79483,161381.0
226,226,448,W 37 St & 10 Ave,40.75660359,-73.9979009,73223.0,73690,146913.0
227,227,449,W 52 St & 9 Ave,40.76461837,-73.98789473,34240.0,31707,65947.0
228,228,450,W 49 St & 8 Ave,40.76227205,-73.98788205,91055.0,88416,179471.0
229,229,453,W 22 St & 8 Ave,40.74475148,-73.99915362,98171.0,99861,198032.0
230,230,454,E 51 St & 1 Ave,40.75455731,-73.96592976,39789.0,40140,79929.0
231,231,455,1 Ave & E 44 St,40.75001986,-73.96905301,53799.0,54825,108624.0
232,232,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,52013.0,53976,105989.0
233,233,457,Broadway & W 58 St,40.76695317,-73.98169333,92855.0,89026,181881.0
234,234,458,11 Ave & W 27 St,40.751396,-74.00522600000002,96959.0,99404,196363.0
235,235,459,W 20 St & 11 Ave,40.746745,-74.007756,147776.0,154144,301920.0
236,236,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,43874.0,44185,88059.0
237,237,461,E 20 St & 2 Ave,40.73587678,-73.98205027,94987.0,94355,189342.0
238,238,462,W 22 St & 10 Ave,40.74691959,-74.00451887,109324.0,111147,220471.0
239,239,463,9 Ave & W 16 St,40.74206539,-74.00443172,36029.0,37367,73396.0
240,240,464,E 56 St & 3 Ave,40.75934501,-73.96759673,14417.0,14652,29069.0
241,241,465,Broadway & W 41 St,40.75513557,-73.98658032,104916.0,99071,203987.0
242,242,466,W 25 St & 6 Ave,40.74395411,-73.99144871,99532.0,100131,199663.0
243,243,467,Dean St & 4 Ave,40.68312489,-73.97895137,35446.0,37361,72807.0
244,244,468,Broadway & W 56 St,40.7652654,-73.98192338,90878.0,84493,175371.0
245,245,469,Broadway & W 53 St,40.76344058,-73.98268129,66209.0,60066,126275.0
246,246,470,W 20 St & 8 Ave,40.74345335,-74.00004031,75934.0,76609,152543.0
247,247,471,Grand St & Havemeyer St,40.71286844,-73.95698119,27518.0,28534,56052.0
248,248,472,E 32 St & Park Ave,40.74571210000001,-73.98194829,109666.0,107933,217599.0
249,249,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,53370.0,54565,107935.0
250,250,474,5 Ave & E 29 St,40.7451677,-73.98683077,87164.0,86053,173217.0
251,251,475,E 15 St & Irving Pl,40.73524276,-73.98758561,38662.0,38462,77124.0
252,252,476,E 31 St & 3 Ave,40.74394314,-73.97966069,83745.0,82967,166712.0
253,253,477,W 41 St & 8 Ave,40.75640548,-73.9900262,147654.0,149906,297560.0
254,254,478,11 Ave & W 41 St,40.76030096,-73.99884222,81580.0,83114,164694.0
255,255,479,9 Ave & W 45 St,40.76019252,-73.9912551,98923.0,99003,197926.0
256,256,480,W 53 St & 10 Ave,40.76669671,-73.99061728,61608.0,61595,123203.0
257,257,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,32262.0,30932,63194.0
258,258,482,W 15 St & 7 Ave,40.73935542,-73.99931783,100200.0,102039,202239.0
259,259,483,E 12 St & 3 Ave,40.73223272,-73.98889957,93614.0,94406,188020.0
260,260,484,W 44 St & 5 Ave,40.75500254,-73.98014437,71519.0,73990,145509.0
261,261,485,W 37 St & 5 Ave,40.75038009,-73.98338988,65056.0,63881,128937.0
262,262,486,Broadway & W 29 St,40.7462009,-73.98855723,99401.0,99093,198494.0
263,263,487,E 20 St & FDR Drive,40.73314259,-73.97573881,80501.0,78958,159459.0
264,264,488,W 39 St & 9 Ave,40.75645824,-73.99372222,56424.0,57822,114246.0
265,265,489,10 Ave & W 28 St,40.75066386,-74.00176802,40780.0,40936,81716.0
266,266,490,8 Ave & W 33 St,40.751551,-73.993934,156202.0,149137,305339.0
267,267,491,E 24 St & Park Ave S,40.74096374,-73.98602213,99037.0,101047,200084.0
268,268,492,W 33 St & 7 Ave,40.75019995,-73.99093085,121791.0,130850,252641.0
269,269,493,W 45 St & 6 Ave (1),40.7568001,-73.98291153,48511.0,50293,98804.0
270,270,494,W 26 St & 8 Ave,40.74734825,-73.99723551,101312.0,101262,202574.0
271,271,495,W 47 St & 10 Ave,40.76269882,-73.99301222,68694.0,68836,137530.0
272,272,496,E 16 St & 5 Ave,40.73726186,-73.99238967,102296.0,103405,205701.0
273,273,497,E 17 St & Broadway,40.73704984,-73.99009296,197647.0,206284,403931.0
274,274,498,Broadway & W 32 St,40.74854862,-73.98808416,84758.0,82850,167608.0
275,275,499,Broadway & W 60 St,40.76915505,-73.98191841,141192.0,137346,278538.0
276,276,500,Broadway & W 51 St,40.76228826,-73.98336183,67606.0,63888,131494.0
277,277,501,FDR Drive & E 35 St,40.744219,-73.97121214,74309.0,73267,147576.0
278,278,502,Henry St & Grand St,40.714215,-73.981346,50011.0,50202,100213.0
279,279,503,E 20 St & Park Ave,40.73827428,-73.98751968,80719.0,80835,161554.0
280,280,504,1 Ave & E 16 St,40.73221853,-73.98165557,118148.0,117966,236114.0
281,281,505,6 Ave & W 33 St,40.74901271,-73.98848395,115745.0,114782,230527.0
282,282,507,E 25 St & 2 Ave,40.73912601,-73.97973776,96064.0,94401,190465.0
283,283,508,W 46 St & 11 Ave,40.76341379,-73.99667444,65570.0,65627,131197.0
284,284,509,9 Ave & W 22 St,40.7454973,-74.00197139,103616.0,106036,209652.0
285,285,510,W 51 St & 6 Ave,40.7606597,-73.98042047,30101.0,34751,64852.0
286,286,511,E 14 St & Avenue B,40.72938685,-73.97772429,54833.0,49270,104103.0
287,287,512,W 29 St & 9 Ave,40.7500727,-73.99839279,22378.0,22183,44561.0
288,288,513,W 56 St & 10 Ave,40.768254,-73.988639,53246.0,52688,105934.0
289,289,514,12 Ave & W 40 St,40.76087502,-74.00277668,136136.0,143258,279394.0
290,290,515,W 43 St & 10 Ave,40.76009437,-73.99461843,78088.0,80081,158169.0
291,291,516,E 47 St & 1 Ave,40.75206862,-73.96784384,31689.0,31733,63422.0
292,292,517,Pershing Square South,40.751581,-73.97791,99136.0,85350,184486.0
293,293,518,E 39 St & 2 Ave,40.74780373,-73.97344190000003,102154.0,101163,203317.0
294,294,519,Pershing Square North,40.751873,-73.97770600000003,258342.0,245521,503863.0
295,295,520,W 52 St & 5 Ave,40.75992262,-73.97648516,77888.0,83135,161023.0
296,296,521,8 Ave & W 31 St N,40.75096735,-73.99444208,82791.0,71377,154168.0
297,297,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,51263.0,50503,101766.0
298,298,523,W 38 St & 8 Ave,40.75466591,-73.99138152,129762.0,128498,258260.0
299,299,524,W 43 St & 6 Ave,40.75527307,-73.98316936,60788.0,60390,121178.0
300,300,525,W 34 St & 11 Ave,40.75594159,-74.0021163,67047.0,67882,134929.0
301,301,526,E 33 St & 5 Ave,40.74765947,-73.98490707,78380.0,77154,155534.0
302,302,527,E 33 St & 2 Ave,40.744023,-73.976056,67138.0,65809,132947.0
303,303,528,2 Ave & E 31 St,40.74290902,-73.97706058,91478.0,90857,182335.0
304,304,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,87178.0,84197,171375.0
305,305,530,11 Ave & W 59 St,40.771522,-73.99054100000002,70449.0,71716,142165.0
306,306,531,Forsyth St & Broome St,40.71893904,-73.99266288,84219.0,84392,168611.0
307,307,532,S 5 Pl & S 5 St,40.710451,-73.960876,62654.0,61198,123852.0
308,308,533,Broadway & W 38 St,40.75299641,-73.98721619,62305.0,59231,121536.0
309,309,534,Water - Whitehall Plaza,40.70255065,-74.0127234,33530.0,35369,68899.0
