,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
608,3467,14075.0,16042,30117.0,R086-A042,R086-A041,R461-N519A,0.004589279999997586,0.004589279999997586,0.005804839999989042
609,3469,3386.0,3433,6819.0,R239-N403,R239-N405,R138-N080,0.006015230000002703,0.006015230000002703,0.041045769999989545
610,3472,12489.0,12984,25473.0,R542-PTH12,R203-N509,R453-N508,0.014743760000008876,0.014817760000013891,0.014973760000003722
611,3474,1545.0,1571,3116.0,R139-N089,R139-N090,R086-A041,0.005519870000000537,0.005519870000000537,0.007360530000021015
612,3477,778.0,876,1654.0,R232-C019,R197-C018,R148-B014,0.007075639999996497,0.007400639999993075,0.04974763999998544
613,3478,1535.0,1832,3367.0,R197-C018,R241-N541,R148-B014,0.007163710000000378,0.03248037000000892,0.04951070999999274
614,3479,2549.0,2524,5073.0,R129-N531,R057-B002,R212-C022,0.035500589999998056,0.04899878999999885,0.05108079000000032
615,3483,,1,,R551-PTH04,R551-PTH04,R543-PTH05,0.008829999999989013,0.008829999999989013,0.020648999999998807
616,3486,7013.0,7050,14063.0,R217-N108,R056-R609,R056-R608,0.0010050099999929785,0.004211990000008825,0.004211990000008825
617,3489,154.0,153,307.0,R088-A051,R088-A052,R088-A049,0.007548480000004076,0.007548480000004076,0.007548480000004076
618,3490,1499.0,1539,3038.0,R182-R257,R182-R256,R132-R258,0.00602700000003864,0.00602700000003864,0.007718000000032532
619,3491,2371.0,2382,4753.0,R182-R257,R182-R256,R181-R254,0.007657000000008907,0.007657000000008907,0.01166099999999659
620,3492,1168.0,1198,2366.0,R182-R257,R324-R303,R323-R301,0.002366399999985447,0.009189599999999132,0.011240599999993606
621,3493,2384.0,2394,4778.0,R182-R257,R182-R256,R323-R301,0.0032428000000166435,0.0032428000000166435,0.01292079999999629
622,3494,2630.0,2662,5292.0,R182-R257,R182-R257,R182-R256,0.0013699999999943202,0.0013699999999943202,0.0013699999999943202
623,3495,2003.0,2038,4041.0,R181-R253,R181-R254,R344-R308,0.008542599999998401,0.008542599999998401,0.025896600000017145
624,3496,3841.0,3896,7737.0,R180-R252,R251-N039,R251-N040,0.010918200000006095,0.027055199999999502,0.027055199999999502
625,3497,4697.0,4735,9432.0,R181-R253,R181-R254,R314-N037,0.011040199999989397,0.011040199999989397,0.029181199999996466
626,3498,1817.0,1821,3638.0,R182-R257,R182-R256,R181-R254,0.011505100000007928,0.011505100000007928,0.015523499999993362
627,3499,1493.0,1527,3020.0,R324-R303,R324-R302,R344-R308,0.016150899999999524,0.016150899999999524,0.021144900000010125
628,3500,1738.0,1774,3512.0,R182-R257,R182-R256,R181-R254,0.003623499999982016,0.003623499999982016,0.00442750000000558
629,3501,1988.0,2000,3988.0,R324-R303,R324-R302,R181-R254,0.005985699999996541,0.005985699999996541,0.006466899999999498
630,3502,3101.0,3145,6246.0,R181-R253,R181-R254,R182-R257,0.0005198999999933562,0.0005198999999933562,0.005692099999990319
631,3503,1474.0,1511,2985.0,R324-R303,R324-R302,R334-N034,0.007522999999999058,0.007522999999999058,0.01756000000000313
632,3504,2002.0,2030,4032.0,R132-R258,R324-R303,R324-R302,0.0019276999999959799,0.012553299999993328,0.012553299999993328
633,3505,1472.0,1510,2982.0,R344-R308,R345-R309,R333-N029,0.014682999999998003,0.01827200000001028,0.01916499999999388
634,3506,1435.0,1442,2877.0,R324-R303,R324-R302,R334-N035,0.010599699999978895,0.010599699999978895,0.019053899999974533
635,3507,7956.0,8004,15960.0,R132-R258,R333-N029,R333-N030,0.0023835999999661794,0.015663400000015315,0.015663400000015315
636,3508,4919.0,4975,9894.0,R102-N025,R102-N026,R102-N025,0.0020939999999924908,0.0020939999999924908,0.0020939999999924908
637,3509,2756.0,2953,5709.0,R324-R303,R324-R303,R324-R302,0.0013530000000088194,0.0013530000000088194,0.0013530000000088194
638,3510,2576.0,2586,5162.0,R206-R305,R324-R303,R324-R302,0.0037113999999860425,0.005985600000002478,0.005985600000002478
639,3511,1453.0,1473,2926.0,R324-R303,R324-R302,R334-N034,0.004054299999999955,0.004054299999999955,0.00685670000000016
640,3512,373.0,373,746.0,R095-R515,R178-R247,R281-N046,0.021988900000017964,0.02716709999997846,0.04343609999997966
641,3513,1177.0,1185,2362.0,R095-R515,R092-R512,R261-R518,0.011978000000020472,0.01436199999997001,0.031158999999966852
642,3514,1745.0,1759,3504.0,R095-R515,R339-N312,R339-N311,0.017279999999992413,0.025788999999996065,0.025788999999996065
643,3515,1549.0,1558,3107.0,R095-R515,R446-R402,R178-R248,0.00686999999999216,0.03414300000000736,0.042286000000004265
644,3516,1943.0,1919,3862.0,R094-R514,R223-R520,R223-R519,0.0013001000000159024,0.026851899999989826,0.026851899999989826
645,3517,1025.0,1023,2048.0,R094-R514,R094-R514,R053-R311,0.0013333999999929347,0.0013333999999929347,0.0457258000000067
646,3518,4619.0,4751,9370.0,R206-R304,R206-R305,R206-R304,0.001063299999984224,0.001063299999984224,0.001063299999984224
647,3520,2016.0,2055,4071.0,R333-N029,R333-N030,R323-R301,0.00405799999998635,0.00405799999998635,0.0055939999999878864
648,3521,8896.0,9114,18010.0,R323-R301,R323-R301,R182-R257,0.0008171000000061213,0.0008171000000061213,0.010918899999978748
649,3522,1039.0,1042,2081.0,R095-R515,R094-R514,R327-R521,0.0048630999999872415,0.005798500000004481,0.026447900000007962
650,3523,1326.0,1321,2647.0,R094-R514,R094-R514,R177-R246,0.003945999999977801,0.003945999999977801,0.05263099999997678
651,3524,1843.0,1858,3701.0,R093-R513,R095-R515,R179-R249,0.01172950000000128,0.01294449999999614,0.03503049999999064
652,3525,946.0,955,1901.0,R095-R515,R447-R405,R538-LGA02,0.004431499999988375,0.03041850000001034,0.045591499999993346
653,3526,5115.0,5111,10226.0,R095-R515,R095-R515,R267-N316,0.000684299999974769,0.000684299999974769,0.019253700000014362
654,3527,1823.0,1833,3656.0,R206-R305,R182-R257,R182-R256,0.0052550000000337604,0.008559999999960155,0.008559999999960155
655,3528,1476.0,1479,2955.0,R094-R514,R448-R406,R448-R407,0.01083810000000085,0.03740189999999188,0.03740189999999188
656,3529,4148.0,4208,8356.0,R102-N025,R102-N026,R445-R401,0.00958169999999825,0.00958169999999825,0.01718330000000634
657,3530,1105.0,1102,2207.0,R447-R405,R447-R404,R179-R249,0.027112000000009573,0.027112000000009573,0.04174300000000386
658,3531,1958.0,1960,3918.0,R102-N026,R207-R307,R324-R302,0.0046525000000059435,0.010144499999988454,0.010849499999999068
659,3532,2040.0,2045,4085.0,R053-R311,R223-R520,R223-R519,0.03525820000000124,0.03845980000000537,0.03845980000000537
660,3533,3494.0,3542,7036.0,R102-N025,R102-N026,R102-N025,0.0008847000000287153,0.0008847000000287153,0.0008847000000287153
661,3534,5442.0,5545,10987.0,R333-N029,R333-N030,R333-N029,0.00022799999997857867,0.00022799999997857867,0.00022799999997857867
662,3535,2592.0,2610,5202.0,R206-R305,R206-R304,R324-R302,0.0040569999999959805,0.0040569999999959805,0.00563999999999254
663,3536,3440.0,2993,6433.0,R159-R173,R159-R173,R206-R305,3.399999999231795e-05,3.399999999231795e-05,0.018317999999993617
664,3537,3815.0,3760,7575.0,R058-R617,R058-R618,R059-R619,0.004295399999968197,0.004295399999968197,0.005757399999986035
665,3538,4687.0,3793,8480.0,R192-R172,R192-R171,R334-N034,0.005132000000003245,0.005132000000003245,0.006804000000002475
666,3539,3570.0,3048,6618.0,R333-N030,R314-N037,R178-R247,0.007561300000013205,0.011343900000007068,0.03395530000000946
667,3540,2139.0,2200,4339.0,R102-N025,R102-N026,R333-N029,0.00382079999999263,0.00382079999999263,0.0052458000000115135
668,3541,2214.0,2292,4506.0,R207-R307,R207-R306,R307-R259,0.016569999999994423,0.016569999999994423,0.026733999999997593
669,3542,2295.0,2233,4528.0,R159-R173,R206-R304,R178-R247,0.004937499999989825,0.014264299999993568,0.0352424999999954
670,3543,1060.0,1041,2101.0,R102-N025,R102-N026,R445-R401,0.005749500000000296,0.005749500000000296,0.03142650000000913
671,3544,2735.0,2653,5388.0,R284-N111,R060-R621,R058-R617,0.0039379000000039355,0.008790100000005907,0.010769899999985455
672,3545,1703.0,1694,3397.0,R102-N025,R102-N026,R314-N037,0.00986889999999363,0.00986889999999363,0.016095500000005813
673,3546,1201.0,1153,2354.0,R412-B010,R153-N120,R153-N120A,0.008726699999968446,0.028289899999990098,0.028289899999990098
674,3547,4604.0,4656,9260.0,R034-R174,R034-R174,R334-N034,0.0019009000000025367,0.0019009000000025367,0.014513099999987844
675,3549,3308.0,3176,6484.0,R196-B013,R196-B012,R231-C011,0.01666399999999868,0.01666399999999868,0.02147000000000787
676,3551,1356.0,1382,2738.0,R182-R257,R182-R256,R182-R257,0.0030790000000138207,0.0030790000000138207,0.0030790000000138207
677,3552,3391.0,3062,6453.0,R333-N030,R251-N039,R251-N040,0.010996000000012884,0.014565000000004602,0.014565000000004602
678,3553,5198.0,5333,10531.0,R334-N035,R334-N034,R324-R303,0.002113000000001364,0.002113000000001364,0.007924000000002707
679,3554,1304.0,1336,2640.0,R134-R507,R033-R147,R033-R153,0.013184500000029686,0.03859790000003471,0.03859790000003471
680,3555,2997.0,2974,5971.0,R121-R509,R047-R240,R031-R135,0.00274600000002323,0.039777000000022156,0.05384400000001932
681,3556,1762.0,1748,3510.0,R090-R510,R298-N318,R298-N319,0.007397999999994909,0.03395699999998669,0.03395699999998669
682,3557,1068.0,1075,2143.0,R469-TRAM2,R359-N307,R359-N400A,0.008893000000014695,0.010184000000009519,0.010184000000009519
683,3558,4546.0,4515,9061.0,R199-N119,R153-N120A,R050-R244A,0.02766799999998426,0.03761859999998052,0.08371499999997667
684,3559,470.0,468,938.0,R016-N305A,R017-N305,R017-N306,0.030081000000009794,0.030081000000009794,0.030081000000009794
685,3560,1330.0,1319,2649.0,R294-H019,R033-R147,R033-R153,0.04989400000000188,0.053207000000007554,0.053207000000007554
